factor,mean_ic,mean_ric,std_ric,icir,valid_days
YOYLiability,-0.008593817320410018,0.0019677163286227696,0.10404422619571048,0.01891230681961566,446
YOYNI,0.006488995952283022,0.001533335310700651,0.11339156843589153,0.013522480832140148,446
rank_cashRatio,0.015793024979433093,0.001362945573575631,0.06902013030871265,0.019747073317298296,446
roe_x_np_growth,0.010162826831264855,0.0013497631052768926,0.0859999900581383,0.01569492164318178,446
YOYAsset,-0.008973965949946289,-0.0012916774703546257,0.12810123424313372,-0.010083255465775187,446
cashRatio_div_roe_to_pb,0.001482547470395767,0.0012316402129545871,0.09795450134509003,0.012573594842931872,446
YOYLiability_div_inv_pb,-0.006454471366531152,-0.0011585943907902998,0.10312041461127637,-0.011235354271583833,446
dynamic_pe,0.0009313931606842832,0.001011954093126217,0.095546281203818,0.010591245209926388,446
cashRatio_div_peg,-0.006232007471286942,0.000837499135156109,0.12573243544139734,0.006660963276627686,446
adx_20_x_YOYEPSBasic,0.004909540148951931,0.0007703455105085091,0.10954105880646398,0.007032481873938682,446
YOYEPSBasic,0.004605540642119368,0.0006258292163454215,0.11003795191363319,0.005687394262268926,446
adx_20_x_YOYNI,0.004991247261731241,0.0006075321569749861,0.11394865249013471,0.005331630903029627,446
kdj_d_x_YOYNI,0.0058376763178144215,-0.0005087602736448064,0.1127380981052119,-0.004512762608164722,446
atr_14_x_YOYLiability,-0.010624888200806242,0.0004124812486915173,0.10646086889719013,0.0038744869637486502,446
peg,-0.010868890991147993,-0.00023509996297666022,0.1238227337886256,-0.0018986817346319693,446
adx_20_x_YOYLiability,-0.009384103413062483,-7.702893482104448e-05,0.10627297388518073,-0.0007248214856984048,446
kdj_d_x_YOYEPSBasic,0.005587284161674661,-6.841423572152048e-05,0.10775275530684174,-0.0006349186665965147,446
eav,0.001639538045767266,3.569067194308458e-05,0.08014748395628149,0.0004453124437761886,231
adv_vol_ratio,,,,0.0,0
breadth_ma20,,,,0.0,0
down_ratio,,,,0.0,0
limit_down_ratio,,,,0.0,0
limit_up_ratio,,,,0.0,0
market_type,,,,0.0,0
mean_return,,,,0.0,0
strong_up_ratio,,,,0.0,0
total_volume,,,,0.0,0
up_ratio,,,,0.0,0
